MET,	Altitude,	Pressure,	Temperature,	DeltaH,	Acceleration X,	Y,	Z,	Orientation X,	Y,	Z,	GPS Latitude,	GPS Longitude,	Software State
0:0:41,87.43,101374.00,26.20,-0.66,-9.68,-0.39,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:41,87.60,101378.00,26.20,0.17,-9.66,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:41,87.77,101376.00,26.20,0.17,-9.70,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:41,87.93,101375.00,26.20,0.17,-9.67,-0.41,-0.22,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:41,87.60,101373.00,26.20,-0.33,-9.68,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:41,87.85,101377.00,26.20,0.25,-9.66,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:42,87.77,101373.00,26.20,-0.08,-9.67,-0.41,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:42,87.60,101374.00,26.20,-0.17,-9.65,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:42,87.77,101379.00,26.20,0.17,-9.68,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:42,87.52,101376.00,26.20,-0.25,-9.70,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:42,87.60,101377.00,26.20,0.08,-9.68,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:42,87.60,101382.00,26.20,0.00,-9.66,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:42,87.68,101375.00,26.20,0.08,-9.67,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:42,87.35,101376.00,26.20,-0.33,-9.67,-0.39,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:43,87.52,101381.00,26.20,0.17,-9.68,-0.38,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:43,87.60,101375.00,26.20,0.08,-9.67,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:43,87.85,101376.00,26.20,0.25,-9.70,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:43,87.85,101376.00,26.20,0.00,-9.67,-0.40,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:43,87.60,101378.00,26.20,-0.25,-9.68,-0.42,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:43,87.35,101376.00,26.20,-0.25,-9.68,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:43,87.85,101383.00,26.20,0.50,-9.68,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:43,86.85,101379.00,26.20,-1.00,-9.67,-0.41,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:44,87.77,101374.00,26.20,0.91,-9.67,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:44,87.77,101378.00,26.20,0.00,-9.68,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:44,87.77,101378.00,26.20,0.00,-9.67,-0.42,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:44,87.93,101384.00,26.20,0.17,-9.66,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:44,87.52,101379.00,26.20,-0.42,-9.67,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:44,87.60,101377.00,26.20,0.08,-9.68,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:44,87.18,101376.00,26.20,-0.42,-9.69,-0.41,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:44,87.02,101383.00,26.20,-0.17,-9.66,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:45,87.43,101381.00,26.20,0.41,-9.67,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:45,87.85,101378.00,26.20,0.42,-9.68,-0.39,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:45,87.52,101373.00,26.20,-0.33,-9.68,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:45,87.68,101373.00,26.20,0.17,-9.67,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
